
*** McDonald's ***

Extra Value Meals: 
9) Shamrock Mccafe Shake L, CAL: 820.0, PRICE: $2.99
10) Mccafe Vanilla Shake L, CAL: 820.0, PRICE: $2.99
11) Mccafe Chocolate Shake M, CAL: 700.0, PRICE: $2.59
12) Mccafe Strawberry Shake M, CAL: 690.0, PRICE: $2.59
13) Mccafe Chocolate Shake S, CAL: 560.0, PRICE: $2.19
14) Shamrock Mccafe Shake M, CAL: 660.0, PRICE: $2.59
15) Mccafe Vanilla Shake M, CAL: 660.0, PRICE: $2.59
16) Mccafe Strawberry Shake S, CAL: 550.0, PRICE: $2.19
17) Pumpkin Pie, CAL: 250.0, PRICE: $1.00
18) Apple Pie, CAL: 250.0, PRICE: $1.00
19) Shamrock Mccafe Shake S, CAL: 530.0, PRICE: $2.19
20) Mccafe Vanilla Shake S, CAL: 530.0, PRICE: $2.19
21) McFlurry (M&M) M, CAL: 640.0, PRICE: $2.69
22) McFlurry (Reese's Peanut Butter Cup) - Snack S, CAL: 410.0, PRICE: $1.79
23) McFlurry (M&M) - Snack S, CAL: 420.0, PRICE: $1.99
24) McFlurry (Snickerdoodle) M, CAL: 530.0, PRICE: $2.69
25) McFlurry (OREO) M, CAL: 510.0, PRICE: $2.69
26) Dipped Cone, CAL: 270.0, PRICE: $1.49
27) Sundae - Caramel, CAL: 340.0, PRICE: $1.89
28) McFlurry (Snickerdoodle) - Snack S, CAL: 350.0, PRICE: $1.99
29) Sundae - Hot Fudge, CAL: 330.0, PRICE: $1.89
30) McFlurry (OREO) -Snack S, CAL: 340.0, PRICE: $1.99
31) Cone, CAL: 200.0, PRICE: $1.19
32) Sundae - Strawberry, CAL: 280.0, PRICE: $1.89
33) Sundae - Plain, CAL: 210.0, PRICE: $1.89

Salads & More: 
1) Chicken Snack Wrap - Crispy, CAL: 410.0, PRICE: $2.09
2) Chicken Snack Wrap - Grilled, CAL: 290.0, PRICE: $2.09
3) Southwest Salad - Crispy Chicken, CAL: 500.0, PRICE: $5.29
4) Bacon Ranch Salad - Crispy Chicken, CAL: 470.0, PRICE: $5.29
5) Southwest Salad - Grilled Chicken, CAL: 340.0, PRICE: $5.29
6) Bacon Ranch Salad - Grilled Chicken, CAL: 310.0, PRICE: $5.29
7) Bacon Ranch Salad, CAL: 180.0, PRICE: $4.29
8) Side Salad, CAL: 15.0, PRICE: $2.39

Entire Menu: 
1) Sausage Biscuit, CAL: 460.0, PRICE: $1.00
2) Chocolate Chip Cookie 1pc, CAL: 170.0, PRICE: $0.39
3) Chocolate Chip Cookies 3pc, CAL: 510.0, PRICE: $1.19
4) Chocolate Chip Cookie, CAL: 160.0, PRICE: $0.41
5) Sausage Biscuit, CAL: 440.0, PRICE: $1.19
6) Strawberry Crème Pie 2pc, CAL: 580.0, PRICE: $1.59
7) Apple Pies 2pc, CAL: 500.0, PRICE: $1.39
8) Daily Double, CAL: 700.0, PRICE: $1.99
9) McFlurry (Reese's Peanut Butter Cup) M, CAL: 810.0, PRICE: $2.39
10) Sausage McMuffin, CAL: 400.0, PRICE: $1.19
11) Strawberry Crème Pie, CAL: 290.0, PRICE: $0.89
12) Sausage Burrito, CAL: 300.0, PRICE: $1.00
13) BBQ Ranch Burger, CAL: 340.0, PRICE: $1.19
14) Mccafe Strawberry Shake L, CAL: 850.0, PRICE: $2.99
15) Mccafe Chocolate Shake L, CAL: 850.0, PRICE: $2.99
16) Shamrock Mccafe Shake L, CAL: 820.0, PRICE: $2.99
